"Rank","Year","Artist","artist_name","Track","track_name","track_number","disc_number","album_name","album_type","artist_id","track_id","album_release_date","album_release_year","duration_ms","danceability","energy","key","key_name","key_mode","mode","mode_name","time_signature","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo"
2,2005,"toby keith","toby keith","as good as i once was","as good as i once was",2,1,"Honkytonk University","album","2bA6fzP0lMAQ4kz6CF61w8","7G6l2FtQyRhQgYgut2I6i8","2005-01-01",2005,227840,0.68,0.87,5,"F","F major",1,"major",4,-4.461,0.0393,0.266,0,0.109,0.646,119.075
2,2006,"brad paisley","brad paisley","the world","the world",1,1,"Time Well Wasted","album","13YmWQJFwgZrd4bf5IjMY4","5JTCdbn2KE4vx1vt8HJ3pZ","2005-08-16",2005,241653,0.444,0.95,4,"E","E major",1,"major",4,-6.018,0.0534,0.358,0.00161,0.101,0.886,176.78
2,2007,"billy currington","billy currington","good directions","good directions",2,1,"Doin' Somethin' Right","album","1By9QBFnjZAoI83BZppHlt","7GQjJEwqlp6m5HNWVQd6OR","2005-01-01",2005,215853,0.716,0.72,5,"F","F major",1,"major",4,-2.183,0.0319,0.307,0,0.135,0.464,122.512
2,2008,"george strait","george strait","i saw god today","i saw god today",5,1,"Troubadour","album","5vngPClqofybhPERIqQMYd","1syuAPliaYtUb729Dwmagx","2008-01-01",2008,203200,0.587,0.586,3,"D#","D# major",1,"major",4,-6.861,0.0298,0.594,0,0.176,0.368,148.202
2,2009,"zac brown band","zac brown band","whatever it is","whatever it is",2,1,"The Foundation","album","6yJCxee7QumYr820xdIsjo","2ISojTv3VUnimEOiLddIw4","2008-11-17",2008,208213,0.686,0.576,1,"C#","C# major",1,"major",4,-6.632,0.0284,0.443,1.7e-05,0.212,0.72,83.971
2,2010,"luke bryan","luke bryan","rain is a good thing","rain is a good thing",1,1,"Doin' My Thing","album","0BvkDsjIUla7X0k6CSWh1I","0LvTyk17rMDBc79Rnbc8jv","2009-01-01",2009,176160,0.622,0.932,11,"B","B minor",0,"minor",4,-4.66,0.0498,0.105,2.37e-06,0.328,0.519,108.051
2,2011,"jake owen","jake owen","barefoot blue jean night","barefoot blue jean night",4,1,"Barefoot Blue Jean Night","album","1n2pb9Tsfe4SwAjmUac6YT","3ts6xK5GzfMAAriT9AIBmP","2011-08-26",2011,167426,0.6,0.808,4,"E","E major",1,"major",4,-4.679,0.0403,0.208,0,0.196,0.809,172.016
2,2012,"brantley gilbert","brantley gilbert","you dont know her like i do","you dont know her like i do",14,1,"Halfway To Heaven (Deluxe Edition)","album","5q8HGNo0BjLWaTAhRtbwxa","4WnY4W5KrqglCdIus8X9Bo","2010",2010,286520,0.49,0.716,4,"E","E major",1,"major",4,-6.681,0.0441,0.022,0.00048,0.0526,0.288,74.988
2,2013,"darius rucker","darius rucker","wagon wheel","wagon wheel",3,1,"True Believers","album","7FY5V3XMwlNBPitEjXowHQ","2FkMd8wLMIZytpKn4u6kMw","2013-01-01",2013,298400,0.529,0.663,9,"A","A major",1,"major",4,-7.138,0.0306,0.456,0,0.142,0.592,148.102
2,2014,"jason aldean","jason aldean","burnin it down","burnin it down",3,1,"Old Boots, New Dirt","album","3FfvYsEGaIb52QPXhg4DcH","4f3ocvNFdJMmGP04kskM2J","2014-09-17",2014,219146,0.68,0.788,6,"F#","F# major",1,"major",4,-6.677,0.0466,0.31,3.82e-06,0.101,0.653,135.943
2,2015,"little big town","little big town","girl crush","girl crush",5,1,"Pain Killer","album","3CygdxquGHurS7f9LjNLkv","11qh54D0PKkBwelpDxxiEU","2014-10-21",2014,193320,0.5,0.225,0,"C","C major",1,"major",3,-10.22,0.0302,0.842,0,0.112,0.355,173.788
2,2016,"thomas rhett","thomas rhett","die a happy man","die a happy man",4,1,"Tangled Up","album","6x2LnllRG5uGarZMsD4iO8","5kNe7PE09d6Kvw5pAsx23n","2015-01-01",2015,227426,0.595,0.389,2,"D","D major",1,"major",4,-9.245,0.0349,0.418,1.39e-06,0.116,0.4,166.052
2,2017,"brett young","brett young","in case you didnt know","in case you didnt know",4,1,"Brett Young","album","0fiWOxhsBsQQvFDtxUQWo0","10M2Ex445zw585Ducldzkw","2017-02-10",2017,224853,0.607,0.536,10,"A#","A# major",1,"major",4,-7.306,0.0305,0.386,0,0.102,0.434,147.986
2,2018,"kane brown","kane brown","heaven","heaven",15,1,"Kane Brown (Deluxe Edition)","album","3oSJ7TBVCWMDMiYjXNiCKE","1HXy5I3HTWq8OvxCn0z7G7","2017-10-06",2017,179506,0.677,0.556,9,"A","A major",1,"major",4,-6.544,0.0306,0.263,0,0.105,0.521,80.009
2,2019,"dan and shay","dan and shay","speechless","speechless",1,1,"Speechless","single","7z5WFjZAIYejWy0NI5lv4T","7q7jyVU0f0hnod8tsaUmxg","2018-05-18",2018,212745,0.631,0.44,1,"C#","C# major",1,"major",4,-5.948,0.028,0.328,0,0.239,0.418,136.033
